"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 28, 2020","182.91","188.66","189.20","182.56","21.73M","-2.45%"
"Apr 27, 2020","187.50","192.66","193.75","187.41","29.20M","-1.35%"
"Apr 24, 2020","190.07","183.23","190.41","180.82","28.87M","2.67%"
"Apr 23, 2020","185.13","184.08","187.05","183.15","21.43M","1.56%"
"Apr 22, 2020","182.28","178.45","184.78","178.14","33.37M","6.72%"
"Apr 21, 2020","170.80","175.25","175.38","168.34","24.85M","-4.17%"
"Apr 20, 2020","178.24","177.41","180.50","176.77","16.11M","-0.56%"
"Apr 17, 2020","179.24","179.20","180.28","176.66","20.97M","1.70%"
"Apr 16, 2020","176.25","177.95","178.05","172.51","23.59M","-0.41%"
"Apr 15, 2020","176.97","175.19","178.19","172.82","17.42M","-0.67%"
"Apr 14, 2020","178.17","178.98","181.23","176.62","21.01M","1.93%"
"Apr 13, 2020","174.79","173.67","175.00","169.45","19.36M","-0.23%"
"Apr 09, 2020","175.19","175.90","177.08","171.57","23.53M","0.52%"
"Apr 08, 2020","174.28","171.25","175.00","167.74","21.66M","3.23%"
"Apr 07, 2020","168.83","171.79","173.39","166.01","31.41M","1.98%"
"Apr 06, 2020","165.55","160.15","166.20","158.51","28.45M","7.37%"
"Apr 03, 2020","154.18","157.15","157.91","150.83","25.98M","-2.53%"
"Apr 02, 2020","158.19","159.10","161.35","155.92","20.89M","-0.88%"
"Apr 01, 2020","159.60","161.62","164.15","158.04","19.51M","-4.32%"
"Mar 31, 2020","166.80","165.48","170.93","164.20","23.68M","0.51%"
"Mar 30, 2020","165.95","159.18","166.75","158.06","22.52M","5.84%"
"Mar 27, 2020","156.79","157.84","160.00","154.81","24.88M","-4.01%"
"Mar 26, 2020","163.34","158.25","163.85","157.11","26.58M","4.56%"
"Mar 25, 2020","156.21","158.64","162.99","153.12","35.18M","-2.96%"
"Mar 24, 2020","160.98","155.25","160.98","152.63","30.44M","8.70%"
"Mar 23, 2020","148.10","149.59","152.31","142.92","29.83M","-1.09%"
"Mar 20, 2020","149.73","156.02","159.27","148.00","32.57M","-2.22%"
"Mar 19, 2020","153.13","146.30","159.91","144.85","39.86M","4.20%"
"Mar 18, 2020","146.96","140.00","148.01","137.18","37.55M","-1.65%"
"Mar 17, 2020","149.42","150.74","153.94","140.00","34.26M","2.34%"
"Mar 16, 2020","146.01","152.32","159.13","143.10","39.12M","-14.25%"
"Mar 13, 2020","170.28","163.53","170.79","157.60","35.03M","10.23%"
"Mar 12, 2020","154.47","159.54","166.60","154.34","43.27M","-9.26%"
"Mar 11, 2020","170.24","174.01","175.88","167.66","20.40M","-4.46%"
"Mar 10, 2020","178.19","174.67","178.29","169.50","24.52M","5.13%"
"Mar 09, 2020","169.50","169.60","175.00","165.19","29.95M","-6.40%"
"Mar 06, 2020","181.09","178.33","183.78","176.26","24.56M","-2.20%"
"Mar 05, 2020","185.17","186.78","188.99","183.89","19.33M","-3.44%"
"Mar 04, 2020","191.76","189.17","191.83","186.39","23.06M","3.16%"
"Mar 03, 2020","185.89","196.22","197.24","183.97","27.98M","-5.37%"
"Mar 02, 2020","196.44","194.03","196.57","188.85","24.95M","2.06%"
"Feb 28, 2020","192.47","182.69","192.74","181.82","32.58M","1.43%"
"Feb 27, 2020","189.75","191.82","195.88","189.50","21.68M","-3.78%"
"Feb 26, 2020","197.20","197.19","201.21","195.49","16.56M","0.22%"
"Feb 25, 2020","196.77","202.25","203.50","195.95","21.43M","-1.97%"
"Feb 24, 2020","200.72","201.80","203.65","198.17","23.08M","-4.50%"
"Feb 21, 2020","210.18","213.48","214.24","208.83","14.10M","-2.05%"
"Feb 20, 2020","214.58","216.52","218.76","212.94","13.11M","-1.34%"
"Feb 19, 2020","217.49","217.99","218.32","216.11","12.14M","-0.14%"
"Feb 18, 2020","217.80","213.55","217.97","213.40","15.63M","1.69%"
"Feb 14, 2020","214.18","214.00","214.93","212.65","10.74M","0.49%"
"Feb 13, 2020","213.14","209.52","214.33","209.18","15.40M","1.13%"
"Feb 12, 2020","210.76","207.85","211.22","207.40","13.81M","1.72%"
"Feb 11, 2020","207.19","210.19","210.86","206.51","25.03M","-2.76%"
"Feb 10, 2020","213.06","211.52","213.80","210.66","11.86M","0.34%"
"Feb 07, 2020","212.33","210.30","212.82","209.93","12.24M","0.70%"
"Feb 06, 2020","210.85","210.47","211.19","209.34","10.57M","0.35%"
"Feb 05, 2020","210.11","212.51","212.73","208.71","12.54M","0.13%"
"Feb 04, 2020","209.83","206.62","210.60","205.20","19.63M","2.76%"
"Feb 03, 2020","204.19","203.44","205.14","202.50","15.51M","1.13%"
"Jan 31, 2020","201.91","208.43","208.69","201.06","31.36M","-3.64%"
"Jan 30, 2020","209.53","206.53","211.43","204.75","48.78M","-6.14%"
"Jan 29, 2020","223.23","221.44","224.20","218.45","33.61M","2.50%"
"Jan 28, 2020","217.79","216.14","218.74","213.52","13.41M","1.36%"
"Jan 27, 2020","214.87","213.10","216.06","212.50","13.81M","-1.41%"
"Jan 24, 2020","217.94","220.80","221.78","216.11","11.91M","-0.83%"
"Jan 23, 2020","219.76","220.75","221.49","219.27","11.20M","-0.70%"
"Jan 22, 2020","221.32","222.31","222.75","221.28","12.21M","-0.05%"
"Jan 21, 2020","221.44","222.16","222.37","219.12","14.28M","-0.32%"
"Jan 17, 2020","222.14","222.03","222.29","220.53","15.91M","0.17%"
"Jan 16, 2020","221.77","222.57","222.63","220.39","10.02M","0.28%"
"Jan 15, 2020","221.15","220.61","221.68","220.14","10.04M","0.95%"
"Jan 14, 2020","219.06","221.61","222.38","218.63","13.32M","-1.28%"
"Jan 13, 2020","221.91","219.60","221.97","219.21","14.49M","1.77%"
"Jan 10, 2020","218.06","219.20","219.88","217.42","12.13M","-0.11%"
"Jan 09, 2020","218.30","217.54","218.38","216.28","12.68M","1.43%"
"Jan 08, 2020","215.22","213.00","216.24","212.61","13.49M","1.01%"
"Jan 07, 2020","213.06","212.82","214.58","211.75","15.11M","0.22%"
"Jan 06, 2020","212.60","206.70","212.78","206.52","17.07M","1.88%"
"Jan 03, 2020","208.67","207.21","210.40","206.95","11.20M","-0.53%"
"Jan 02, 2020","209.78","206.75","209.79","206.27","12.09M","2.21%"
"Dec 31, 2019","205.25","204.00","205.56","203.60","8.96M","0.41%"
"Dec 30, 2019","204.41","207.86","207.90","203.90","10.53M","-1.77%"
"Dec 27, 2019","208.10","208.67","208.93","206.59","10.29M","0.15%"
"Dec 26, 2019","207.79","205.57","207.82","205.31","9.37M","1.30%"
"Dec 24, 2019","205.12","206.30","206.79","205.00","6.05M","-0.51%"
"Dec 23, 2019","206.18","206.70","208.59","205.68","13.35M","-0.06%"
"Dec 20, 2019","206.30","207.48","207.71","203.43","27.32M","0.12%"
"Dec 19, 2019","206.06","202.78","206.30","202.51","16.81M","1.76%"
"Dec 18, 2019","202.50","200.09","204.30","200.09","23.28M","2.07%"
"Dec 17, 2019","198.39","198.84","199.00","196.13","10.18M","0.24%"
"Dec 16, 2019","197.92","195.27","199.12","194.81","14.92M","1.96%"
"Dec 13, 2019","194.11","196.40","196.80","193.17","18.81M","-1.34%"
"Dec 12, 2019","196.75","202.35","203.66","194.10","23.77M","-2.72%"
"Dec 11, 2019","202.26","200.28","202.63","200.28","8.04M","0.69%"
"Dec 10, 2019","200.87","201.66","202.05","200.15","9.49M","-0.23%"
"Dec 09, 2019","201.34","200.65","203.14","200.21","12.01M","0.14%"
"Dec 06, 2019","201.05","200.50","201.57","200.06","12.28M","0.85%"
"Dec 05, 2019","199.36","199.86","201.29","198.21","9.76M","0.33%"
"Dec 04, 2019","198.71","200.00","200.03","198.05","8.46M","-0.06%"
"Dec 03, 2019","198.82","197.60","198.93","195.08","13.01M","-0.44%"
"Dec 02, 2019","199.70","202.13","202.18","198.05","11.54M","-0.96%"
"Nov 29, 2019","201.64","201.60","203.80","201.21","7.99M","-0.18%"
"Nov 27, 2019","202.00","199.90","203.14","199.42","12.76M","1.52%"
"Nov 26, 2019","198.97","200.00","200.15","198.04","11.75M","-0.41%"
"Nov 25, 2019","199.79","199.51","200.97","199.25","15.29M","0.49%"
"Nov 22, 2019","198.82","198.38","199.30","197.62","9.96M","0.45%"
"Nov 21, 2019","197.93","197.42","199.09","196.86","12.13M","0.21%"
"Nov 20, 2019","197.51","198.58","199.59","195.43","12.37M","-0.91%"
"Nov 19, 2019","199.32","197.40","200.00","196.86","19.07M","0.97%"
"Nov 18, 2019","197.40","194.56","198.63","193.05","16.18M","1.18%"
"Nov 15, 2019","195.10","194.26","195.30","193.38","11.53M","1.01%"
"Nov 14, 2019","193.15","192.93","194.03","191.45","9.06M","-0.02%"
"Nov 13, 2019","193.19","194.70","195.70","192.74","11.01M","-0.66%"
"Nov 12, 2019","194.47","190.00","195.06","189.74","17.62M","2.56%"
"Nov 11, 2019","189.61","189.93","190.08","188.54","8.64M","-0.64%"
"Nov 08, 2019","190.84","190.00","192.34","189.70","10.76M","0.22%"
"Nov 07, 2019","190.42","191.91","193.44","189.47","13.47M","-0.59%"
"Nov 06, 2019","191.55","194.03","194.37","191.35","10.97M","-1.43%"
"Nov 05, 2019","194.32","195.37","195.75","193.60","9.94M","-0.21%"
"Nov 04, 2019","194.72","194.55","197.37","193.81","16.37M","0.57%"
"Nov 01, 2019","193.62","192.85","194.11","189.91","21.71M","1.03%"
"Oct 31, 2019","191.65","196.70","198.09","188.25","42.29M","1.81%"
"Oct 30, 2019","188.25","189.56","190.45","185.98","28.73M","-0.56%"
"Oct 29, 2019","189.31","191.69","192.53","188.47","13.57M","-0.05%"
"Oct 28, 2019","189.40","187.20","189.53","185.08","13.66M","0.80%"
"Oct 25, 2019","187.89","185.83","189.00","185.09","8.06M","0.81%"
"Oct 24, 2019","186.38","184.62","186.73","182.80","11.51M","0.12%"
"Oct 23, 2019","186.15","182.01","186.38","182.00","12.37M","2.09%"
"Oct 22, 2019","182.34","190.00","190.65","181.50","19.85M","-3.91%"
"Oct 21, 2019","189.76","187.04","189.91","186.75","8.58M","2.10%"
"Oct 18, 2019","185.85","190.23","191.49","183.92","16.88M","-2.38%"
"Oct 17, 2019","190.39","190.30","190.84","188.76","9.76M","0.44%"
"Oct 16, 2019","189.55","188.32","189.70","186.90","10.56M","0.35%"
"Oct 15, 2019","188.89","183.80","190.38","183.66","15.14M","3.06%"
"Oct 14, 2019","183.28","184.20","184.62","182.57","7.20M","-0.49%"
"Oct 11, 2019","184.19","182.15","186.49","182.14","15.00M","2.31%"
"Oct 10, 2019","180.03","180.32","181.61","179.17","8.98M","0.10%"
"Oct 09, 2019","179.85","179.16","180.72","177.94","7.65M","1.18%"
"Oct 08, 2019","177.75","178.26","180.37","177.72","10.08M","-1.07%"
"Oct 07, 2019","179.68","180.00","181.18","178.09","9.36M","-0.43%"
"Oct 04, 2019","180.45","179.55","180.98","178.10","10.48M","0.60%"
"Oct 03, 2019","179.38","175.57","179.84","173.63","16.79M","2.74%"
"Oct 02, 2019","174.60","174.84","176.53","173.09","16.37M","-0.69%"
"Oct 01, 2019","175.81","179.15","179.84","174.88","17.26M","-1.27%"
"Sep 30, 2019","178.08","177.87","178.67","176.85","11.07M","0.55%"
"Sep 27, 2019","177.10","180.49","180.75","175.66","14.66M","-1.67%"
"Sep 26, 2019","180.11","181.33","181.40","177.67","16.28M","-1.47%"
"Sep 25, 2019","182.80","181.45","183.42","177.87","18.34M","0.84%"
"Sep 24, 2019","181.28","187.98","188.04","180.39","18.78M","-2.97%"
"Sep 23, 2019","186.82","189.34","190.10","185.21","14.37M","-1.64%"
"Sep 20, 2019","189.93","190.66","193.10","188.12","20.36M","-0.11%"
"Sep 19, 2019","190.14","188.66","191.10","188.15","10.47M","1.06%"
"Sep 18, 2019","188.14","188.09","189.08","186.01","9.95M","0.03%"
"Sep 17, 2019","188.08","186.66","188.32","185.54","9.75M","1.00%"
"Sep 16, 2019","186.22","186.93","187.79","185.76","8.44M","-0.52%"
"Sep 13, 2019","187.19","187.32","187.97","186.54","11.44M","-0.15%"
"Sep 12, 2019","187.47","189.86","190.93","187.23","11.42M","-0.54%"
"Sep 11, 2019","188.49","186.46","189.44","186.08","11.76M","1.25%"
"Sep 10, 2019","186.17","187.44","188.10","184.55","15.46M","-1.37%"
"Sep 09, 2019","188.76","187.73","188.98","185.85","14.72M","0.68%"
"Sep 06, 2019","187.49","190.21","190.21","186.35","15.23M","-1.79%"
"Sep 05, 2019","190.90","188.53","191.36","187.94","13.90M","2.01%"
"Sep 04, 2019","187.14","184.65","187.75","183.89","11.31M","2.60%"
"Sep 03, 2019","182.39","184.00","185.67","182.11","9.79M","-1.77%"
"Aug 30, 2019","185.67","186.78","186.80","183.46","10.79M","0.05%"
"Aug 29, 2019","185.57","183.77","186.08","183.47","10.14M","2.10%"
"Aug 28, 2019","181.76","180.53","181.95","178.92","9.39M","0.25%"
"Aug 27, 2019","181.30","181.93","184.04","181.01","14.41M","0.52%"
"Aug 26, 2019","180.36","179.40","180.50","178.24","8.78M","1.47%"
"Aug 23, 2019","177.75","180.84","183.13","176.66","17.33M","-2.36%"
"Aug 22, 2019","182.04","183.43","184.11","179.91","10.83M","-0.82%"
"Aug 21, 2019","183.55","185.00","185.90","183.14","8.41M","-0.14%"
"Aug 20, 2019","183.81","185.45","186.00","182.39","10.09M","-1.27%"
"Aug 19, 2019","186.17","186.01","187.50","184.85","9.70M","1.34%"
"Aug 16, 2019","183.70","183.75","185.10","182.36","12.84M","0.61%"
"Aug 15, 2019","182.59","180.95","183.20","180.03","13.06M","1.60%"
"Aug 14, 2019","179.71","185.80","185.99","179.31","18.90M","-4.64%"
"Aug 13, 2019","188.45","185.52","191.38","185.37","13.65M","1.66%"
"Aug 12, 2019","185.37","186.85","187.59","184.46","10.94M","-1.32%"
"Aug 09, 2019","187.85","190.00","190.98","187.12","11.06M","-1.21%"
"Aug 08, 2019","190.16","186.62","190.34","184.05","14.83M","2.71%"
"Aug 07, 2019","185.15","183.60","186.37","181.22","15.83M","0.35%"
"Aug 06, 2019","184.51","183.69","185.79","183.09","18.04M","1.53%"
"Aug 05, 2019","181.73","184.69","185.67","179.34","23.09M","-3.86%"
"Aug 02, 2019","189.02","191.10","192.62","188.07","15.30M","-1.92%"
"Aug 01, 2019","192.73","194.17","198.47","190.88","17.78M","-0.77%"
"Jul 31, 2019","194.23","196.95","198.76","192.68","14.59M","-1.43%"
"Jul 30, 2019","197.04","195.39","198.71","193.50","11.90M","0.56%"
"Jul 29, 2019","195.94","199.00","199.63","195.30","16.53M","-1.91%"
"Jul 26, 2019","199.75","200.19","202.88","196.25","24.43M","-0.48%"
"Jul 25, 2019","200.71","206.70","208.66","198.26","39.89M","-1.93%"
